"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Percentage","Flag Codes","Flags"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2010","2010",2061214,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2011","2011",2037101,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2012","2012",2365597,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2013","2013",2540546,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2014","2014",2709088,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2015","2015",2845950,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2016","2016",2886461,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2017","2017",3100395,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2018","2018",3362870,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2019","2019",3573711,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2020","2020",3714716,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","NOMBRENB","Number","AUS","Australia","2021","2021",4213062,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2010","2010",93.6,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2011","2011",91.2,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2012","2012",104.1,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2013","2013",109.8,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2014","2014",115.4,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2015","2015",119.5,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2016","2016",119.3,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2017","2017",126,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2018","2018",134.6,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2019","2019",140.9,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2020","2020",144.6,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","RTOINPNB","Per 1 000 population","AUS","Australia","2021","2021",163.7,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2010","2010",2172,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2011","2011",2057.7,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2012","2012",2060.6,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2013","2013",2047.2,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2014","2014",2058.6,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2015","2015",2007,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2016","2016",1894,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2017","2017",1958.6,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2018","2018",2000.5,"D","Difference in methodology"
"DGTSCTEX","Computed Tomography exams, total","PERMACNB","Per scanner","AUS","Australia","2019","2019",2020.2,"D","Difference in methodology"
