"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Percentage","Flag Codes","Flags"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2010","2010",91.6,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2011","2011",91.6,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2012","2012",91.8,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2013","2013",91,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2014","2014",91.2,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2015","2015",92.8,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2016","2016",94.2,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2017","2017",94.7,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2018","2018",94.5,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2019","2019",94.9,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2020","2020",95.3,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUS","Australia","2021","2021",95,,
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2010","2010",86,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2011","2011",89,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2012","2012",92,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2013","2013",95,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2014","2014",98,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2015","2015",93,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2016","2016",87,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2017","2017",90,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","AUT","Austria","2018","2018",85,"E","Estimated value"
