"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2010","2010",173,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2011","2011",184,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2012","2012",196,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2013","2013",194,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2014","2014",191,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2015","2015",188,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2016","2016",195,"B; D","Break; Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2017","2017",198,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2018","2018",209,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2019","2019",223,"B; D","Break; Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2020","2020",308,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2010","2010",71.3,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2011","2011",69.1,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2012","2012",65.7,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2013","2013",57.9,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2014","2014",59.1,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2015","2015",58.6,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2016","2016",54.8,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2017","2017",56.2,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2018","2018",59.8,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2019","2019",70.7,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2020","2020",84.2,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2010","2010",87,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2011","2011",87.9,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2012","2012",88.8,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2013","2013",90.4,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2014","2014",91.3,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2015","2015",88.9,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2016","2016",85.5,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2017","2017",87.7,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2018","2018",87.6,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2019","2019",85.9,,
"WAITCATW","Cataract surgery","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2020","2020",92,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2012","2012",74,"E","Estimated value"
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2013","2013",117.9,"E","Estimated value"
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2014","2014",142.9,"E","Estimated value"
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2015","2015",126.5,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2016","2016",133.2,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2017","2017",127.2,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2018","2018",100.7,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2019","2019",105.7,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2020","2020",183.3,,
"WAITKNEW","Knee replacement","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2021","2021",137.8,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2010","2010",90,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2011","2011",89,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2012","2012",89,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2013","2013",79,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2014","2014",83,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2015","2015",92,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2016","2016",85,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2017","2017",87,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2018","2018",84,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2019","2019",98,"B; D","Break; Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2020","2020",172,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2010","2010",88.4,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2011","2011",88.2,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2012","2012",88.6,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2013","2013",91.7,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2014","2014",89.2,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2015","2015",89.8,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2016","2016",91.4,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2017","2017",92,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2018","2018",92.7,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2019","2019",93.4,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2020","2020",95.8,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2010","2010",69,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2011","2011",74,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2012","2012",85,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2013","2013",84.9,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2014","2014",81.1,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2015","2015",84.6,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2016","2016",86.5,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2017","2017",95.1,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2018","2018",93,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2019","2019",103.9,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2020","2020",156.2,,
"WAITPROW","Prostatectomy","WTPAMEQT","Waiting times of patients on the list: Mean (days)","ESP","Spain","2021","2021",128.8,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2010","2010",47,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2011","2011",42,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2012","2012",39,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2013","2013",43,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2014","2014",40,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2015","2015",41,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2016","2016",41,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2017","2017",46,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2018","2018",44,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2019","2019",44,"B; D","Break; Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2020","2020",54,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2010","2010",131.1,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2011","2011",137.5,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2012","2012",139.2,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2013","2013",137.8,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2014","2014",130.4,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2015","2015",125.9,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2016","2016",119.6,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2017","2017",117.2,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2018","2018",115.8,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2019","2019",100.4,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2020","2020",100.9,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2014","2014",55.8,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2015","2015",56.9,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2016","2016",56,"B; D","Break; Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2017","2017",58.6,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2018","2018",58,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2019","2019",58.8,"B; D","Break; Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2020","2020",66.6,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2013","2013",59,"E","Estimated value"
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2014","2014",52,"E","Estimated value"
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2015","2015",41,,
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2016","2016",41,,
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2017","2017",39,,
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2018","2018",37,,
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2019","2019",39,,
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2020","2020",45,,
"WAITCOBW","Coronary bypass","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2021","2021",41,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2012","2012",97,"E","Estimated value"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2013","2013",210.8,"E","Estimated value"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2014","2014",229.6,"E","Estimated value"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2015","2015",204,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2016","2016",206.4,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2017","2017",210.9,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2018","2018",198.2,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2019","2019",190.6,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2020","2020",207.5,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2021","2021",242.2,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2010","2010",68.1,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2011","2011",66.4,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2012","2012",62.3,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2013","2013",52.7,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2014","2014",47.4,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2015","2015",53.1,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2016","2016",72.9,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2017","2017",80.3,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2018","2018",68.2,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2019","2019",62.8,,
"WAITCATW","Cataract surgery","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2020","2020",49.1,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2012","2012",2,"E","Estimated value"
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2013","2013",2,"E","Estimated value"
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2014","2014",0,"E","Estimated value"
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2015","2015",33.3,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2016","2016",2.6,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2017","2017",0,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2019","2019",25,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2020","2020",25,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2010","2010",81,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2011","2011",82.1,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2012","2012",84.5,,
